name,address,latitude,longitude
Villa Turque,"Villa Turque, Rue du Doubs 167, 2300 La Chaux-de-Fonds, 스위스",47.0995882,6.8170294
Vitra Campus,"Vitra Campus, Charles-Eames-Straße 2, 79576 Weil am Rhein, 독일",47.6019783,7.6185332
Yale Center for British Art,"Yale Center for British Art, 1080 Chapel St, New Haven, CT 06510 미국",41.3079669,-72.9306417
Yale University Art Gallery,"Yale University Art Gallery, 1111 Chapel St, New Haven, CT 06510 미국",41.308363,-72.9309775
Σχολή Τουριστικών Επαγγελμάτων Αναβύσσου,"Σχολή Τουριστικών Επαγγελμάτων Αναβύσσου, Leof. Athinon Souniou, Anavissos 190 13 그리스",37.7187014,23.9192812
국가의회 의사당,"국가의회 의사당 Platz der Republik 1, 11011 Berlin, 독일",52.5186202,13.3761872
국립 현대미술관,"국립 현대미술관 Viale delle Belle Arti, 131, 00197 Roma RM, 이탈리아",41.9168866,12.4819584
까레 다르,"까레 다르 16 Pl. de la Maison Carrée, 30000 Nîmes, 프랑스",43.838023,4.35503
노트르담 뒤 오,"노트르담 뒤 오 13 Rue de la Chapelle, 70250 Ronchamp, 프랑스",47.704618,6.620545
뉴욕 현대 미술관,"뉴욕 현대 미술관 11 W 53rd St, New York, NY 10019 미국",40.7614327,-73.9776216
더 게티,"더 게티 1200 Getty Center Dr, Los Angeles, CA 90049 미국",34.0773438,-118.4732648
더 글래스고 스쿨 오브 아트,"더 글래스고 스쿨 오브 아트 167 Renfrew St, Glasgow G3 6RQ 영국",55.866147,-4.2636933
라빌레트 공원,"라빌레트 공원 211 Av. Jean Jaurès, 75019 Paris, 프랑스",48.8931617,2.3905342
로댕 미술관,"로댕 미술관 77 Rue de Varenne, 75007 Paris, 프랑스",48.8553072,2.3158354
루브르 박물관,"루브르 박물관 75001 Paris, 프랑스",48.8606111,2.337644
마르모탕 모네 미술관,"마르모탕 모네 미술관 2 Rue Louis Boilly, 75016 Paris, 프랑스",48.8592349,2.2672231
몽소 공원,"몽소 공원 75008 Paris, 프랑스",48.8796835,2.308955
바스콘셀로스 도서관,"바스콘셀로스 도서관 Eje 1 Nte. S/N, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, 멕시코",19.4464563,-99.1509646
벨로드롬,"벨로드롬 Paul-Heyse-Straße 26, 10407 Berlin-Bezirk Pankow, 독일",52.5307469,13.4511174
보르게세 미술관,"보르게세 미술관 Piazzale Scipione Borghese, 5, 00197 Roma RM, 이탈리아",41.9142103,12.4921442
빌라 라호슈,"빌라 라호슈 10 Sq. du Dr Blanche, 75016 Paris, 프랑스",48.8518789,2.265319
빌라 사보아,"빌라 사보아 82 Rue de Villiers, 78300 Poissy, 프랑스",48.9244245,2.0282804
산타 사비나 성당,"산타 사비나 성당 Piazza Pietro D'Illiria, 1, 00153 Roma RM, 이탈리아",41.8842255,12.4796934
산타카테리나 시장,"산타카테리나 시장 Av. de Francesc Cambó, 16, Ciutat Vella, 08003 Barcelona, 스페인",41.3863611,2.1781566
생트 피에르,"생트 피에르 Rue des Noyers, 42700 Firminy, 프랑스",45.3838219,4.2859967
세계문화의 집,"세계문화의 집 John-Foster-Dulles-Allee 10, 10557 Berlin, 독일",52.5185185,13.3644649
솔로몬 R. 구겐하임 미술관,"솔로몬 R. 구겐하임 미술관 1071 5th Ave, New York, NY 10128 미국",40.7829796,-73.9589706
스코틀랜드 의회 빌딩,"스코틀랜드 의회 빌딩 Horse Wynd, Edinburgh EH99 1SP 영국",55.952282,-3.1748658
시애틀 퍼블릭 라이브러리 - 중앙도서관,"시애틀 퍼블릭 라이브러리 - 중앙도서관 1000 4th Ave, Seattle, WA 98104 미국",47.6067659,-122.3326438
아트 갤러리 오브 뉴사우스웨일스 주,"아트 갤러리 오브 뉴사우스웨일스 주 Art Gallery Rd, Sydney NSW 2000 오스트레일리아",-33.8688037,151.2174138
오랑주리 미술관,"오랑주리 미술관 Jardin des Tuileries, 75001 Paris, 프랑스",48.8637884,2.3226724
오르세 미술관,"오르세 미술관 Esplanade Valéry Giscard d'Estaing, 75007 Paris, 프랑스",48.8599614,2.3265614
유배순교자 기념물,"유배순교자 기념물 7 Quai de l'Archevêché, 75004 Paris, 프랑스",48.8517573,2.3524438
일본 국립문화재기구,"일본 국립문화재기구 13-9 Uenokoen, Taito City, Tokyo 110-0007 일본",35.7200066,139.7756635
자크마르-앙드레 미술관,"자크마르-앙드레 미술관 158 Bd Haussmann, 75008 Paris, 프랑스",48.875553,2.310422
조르주 퐁피두 센터,"조르주 퐁피두 센터 Place Georges-Pompidou, 75004 Paris, 프랑스",48.860642,2.352245
쥐베흐니,프랑스 쥐베흐니,49.0766071,1.5290156
진화과학 박물관,"진화과학 박물관 36 Rue Geoffroy-Saint-Hilaire, 75005 Paris, 프랑스",48.841693,2.3559336
코펜하겐 카스트럽 국제공항,"코펜하겐 카스트럽 국제공항 (CPH) Lufthavnsboulevarden 6, 2770 Kastrup, 덴마크",55.6120128,12.6476789
코펜힐 스키장,"코펜힐 스키장 Vindmøllevej 6, 2300 København, 덴마크",55.6846011,12.6200294
쿨레 베르트 산책길,"쿨레 베르트 산책길 Coulée Verte René-Dumont, 75012 Paris, 프랑스",48.8494548,2.3714863
크노소스 궁전,크노소스 궁전 Knosos 714 09 그리스,35.2979569,25.1627815
크뢸러 뮐러 미술관,"크뢸러 뮐러 미술관 Houtkampweg 6, 6731 AW Otterlo, 네덜란드",52.0955802,5.8174162
클래스 오브 1945 도서관,"클래스 오브 1945 도서관 21 Rear Elm St, Exeter, NH 03833 미국",42.978817,-70.9494927
킴벨 아트 뮤지엄,"킴벨 아트 뮤지엄 3333 Camp Bowie Blvd, Fort Worth, TX 76107 미국",32.7485687,-97.3649208
파리 지하납골당,"파리 지하납골당 1 Av. du Colonel Henri Rol-Tanguy, 75014 Paris, 프랑스",48.8339177,2.332391
평화의 제단 박물관,"평화의 제단 박물관 Lungotevere in Augusta, 00186 Roma RM, 이탈리아",41.9058408,12.4754092
피카소 미술관,"피카소 미술관 5 Rue de Thorigny, 75003 Paris, 프랑스",48.8596668,2.3626138
학살된 유럽 유대인을 위한 기념물,"학살된 유럽 유대인을 위한 기념물 Cora-Berliner-Straße 1, 10117 Berlin, 독일",52.5139474,13.3787127
호류지,"호류지 1-1-1 Horyuji Sannai, Ikaruga, Ikoma District, Nara 636-0115 일본",34.6147234,135.7341813
호텔 일 팔라조,"호텔 일 팔라조 3 Chome-13-1 Haruyoshi, Chuo Ward, Fukuoka, 810-0003 일본",33.5899318,130.4074334
카자 드 샤 다 보아 노바,"카자 드 샤 다 보아 노바 Av. Liberdade 1681, 4450-718 Leça da Palmeira, 포르투갈",41.2029074,-8.7150005
